รหัสโครงการ,ชื่อโครงการ(Draft),งบประมาณโครงการ,เลขที่สัญญา,วันที่เซ็นสัญญา,วันที่เริ่มสัญญา,วันที่สิ้นสุดสัญญา,วันที่สิ้นสุดประกัน,สถานะโครงการ
PJ67-0031,ถ่ายทอดองค์ความรู้เทคโนโลยีหารผลิตข้าว,$0.00 ,,,,,,นำเสนอ/ติดตาม
TP67-0014,จัดซื้อกล้องวงจรปิดและอุปกรณ์มหาวิทยาลัยศิลปากรวังท่าพระสาขาวิชาIDM,"$120,000.00 ",,,,,,นำเสนอ/ติดตาม
AR68-0059,HW ศูนย์นวัตกรรมการเรียนรู้ดิจิทัลชั้น4 ม.สุวรรณภูมิ,$0.00 ,,,,,,นำเสนอ/ติดตาม
NT68-0002,ขายของให้พนักงาน,$0.00 ,,,,,,ได้งาน
AP67-0006,single data,"$38,000,000.00 ",,,,,,นำเสนอ/ติดตาม
SA68-0016,Rent - PC 250 set ปี 69,"$4,446,000.00 ",,,,,,นำเสนอ/ติดตาม
CC67-0033,งานจ้างเหมาบริการระบบบริหารจัดการและควบคุมดูแลระบบเครือข่าย Internet/Intranet สำหรับให้บริการแก่ การยางแห่งประเทศไทย ,"$3,450,000.00 ",ใบสั่งจ้างเลขที่ 3600006735,11/10/2024 0:00,01/10/2024 0:00,30/09/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AP67-0044,DEV-MAศธ.02 งบปี67,"$27,534,400.00 ",26/2567,08/08/2024 0:00,09/08/2024 0:00,06/11/2024 0:00,,จบงาน/ช่วงรับประกัน
PJ67-0042,จัดการผลผลิตของเกษตรกรผู้ปลูกธัญพืชเมืองหนาวด้วยการเชื่อมโยงตลาด,$0.00 ,,,,,,นำเสนอ/ติดตาม
SA68-0012,DEV-เทคโนโลยีดิจิทัลและเทคโนโลยีปัญญาประดิษฐ์ (AI)  งบปี 69,"$80,000,000.00 ",,,,,,นำเสนอ/ติดตาม
CC67-0036,จ้างบริการระบบบริหารจัดการเครือข่ายอินเทอร์เน็ต สำหรับให้บริการแก่การท่องเที่ยวแห่งประเทศไทย (ททท.) สำนักงานสาขา,"$3,204,000.00 ",ใบสั่งจ้างเลขที่ 3600006753,31/10/2024 0:00,01/10/2024 0:00,30/09/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
SA68-0011,HW-พัฒนาระบบ Online Cyber งบปี 69,"$50,000,000.00 ",,,,,,นำเสนอ/ติดตาม
PJ67-0005,Link NT (กรมประชาสัมพันธ์),$0.00 ,,,,,,นำเสนอ/ติดตาม
TP67-0006,สำนักงานทรัพยากรน้ำแห่งชาติ,$0.00 ,,,,,,นำเสนอ/ติดตาม
CC68-0020,ติดตั้งกล้อง CCTV ตู้ Telemedicine,$0.00 ,,,,,,นำเสนอ/ติดตาม
CC67-0014,ซื้อ Batterry Notebook HP,"$3,000.00 ",CC67-0014,12/12/2024 0:00,12/12/2024 0:00,13/02/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
SA67-0053,HW- งานผลิตสื่ออาชีว ปี 68,"$85,638,400.00 ",,,,,,นำเสนอ/ติดตาม
PJ67-0002,MA Network 68,"$1,990,000.00 ",Jan-68,10/10/2024 0:00,01/10/2024 0:00,30/09/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
CC68-0088,จ้างเหมาระบบรักษาความปลอดภัยระบบเครือข่าย สำหรับให้บริการแก่ สำนักงานคณะกรรมการกำกับกิจการพลังงาน  ,"$780,000.00 ",ใบสั่งซื้อเลขที่ 3600007181 (พกง.3),14/05/2025 0:00,15/05/2025 0:00,14/05/2026 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AR67-0025,HW Smart withe board ผส,"$600,000.00 ",,,,,,นำเสนอ/ติดตาม
TP67-0016,Window Server ,"$73,830.00 ",PO 2567-08-001,20/08/2024 0:00,27/08/2024 0:00,02/10/2024 0:00,28/08/2024 0:00,ได้งาน/เซ็นสัญญาแล้ว
AR67-0102,AR67-0102 ปตท ซื้อ Lic,$0.00 ,,,,,,นำเสนอ/ติดตาม
PJ67-0012,ครุภัณฑ์คอมพิวเตอร์ 68,$0.00 ,,,,,,นำเสนอ/ติดตาม
CC67-0099,สัญญาซื้อโครงการอุปกรณ์ระบบบูรณาการข้อมูลสถานีเรดาร์ฝนหลวงเคลื่อนที่ 2 แห่ง จำนวน 2 ชุด และสถานีเรดาร์ฝนหลวงประจำที่ 1 แห่ง จำนวน 1 ชุด,"$13,200,000.00 ",คภ.ฝล.9/2567,09/05/2024 0:00,10/05/2024 0:00,09/08/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
CC68-0012,ซื้ออุปกรณ์เชื่อมต่ออินเตอร์เน็ต,"$7,276.00 ",ใบสั่งซื้อเลขที่ PO16803/0005,31/03/2025 0:00,01/04/2025 0:00,30/04/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
KT68-0001,ค่าใช้จ่ายเชื่อมโยงข้อมูลระหว่าง 1 โรงงาน ผ่าน Server ของบริษัทฯ ที่ตั้งอยู่ที่ CAT IDC และ ค่าดูแล และสนันสนุนการใช้งานระบบ หนองคาย,"$44,940.00 ",KT68-0001,03/01/2025 0:00,01/01/2025 0:00,30/06/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AR67-0072,HW_อะไหล่เครื่องปริ้นเตอร์ กสอ DIT-2024-0072_ซื้ออะไหล่ปริ้นเตอร์ (AR67-0072),$0.00 ,,,,,,นำเสนอ/ติดตาม
SJ68-0001,Dev_จ้างดำเนินการกิจกรรมการปรับปรุงข้อมูลและเงื่อนไขระบบรับสมัครโครงการส่งเสริมและเพิ่มศักยภาพของผู้ประกอบการขนาดกลางและขนาดย่อม ปีงบประมาณ 2568 ภายใต้โครงการส่งเสริมและเพิ่มศักยภาพของผู้ประกอบการขนาดกลางและขนาดย่อม  (SME Pro-active),"$500,000.00 ",ใบสั่งจ้างเลขที่ 124/68,24/02/2025 0:00,24/02/2025 0:00,30/09/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
PJ67-0111,ครุภัณฑ์คอม 5 รายการ,"$416,600.00 ",78/2568,28/02/2025 0:00,01/03/2025 0:00,29/05/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AR68-0008,ครุภัณฑ์คอมพิวเตอร์ 68 กสอ,$0.00 ,,,,,,นำเสนอ/ติดตาม
AR67-0103,HW อุปกรณ์ประชุมทางไกล กสอ 69,$0.00 ,,,,,,นำเสนอ/ติดตาม
AP68-0030,จ้างเหมาจัดหาโปรแกรม Adobe Creative Cloud จำนวน 1 Unit,"$51,360.00 ",ใบสั่งจ้างเลขที่ 68-102,18/04/2025 0:00,19/04/2025 0:00,03/05/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
PJ67-0090,ซ่อม ups 1 unit,"$1,016.50 ",ใบเสนอราคาเลขที่ PJ67-0090,13/08/2024 0:00,14/08/2024 0:00,13/09/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AR68-0004,MA_Network+PC สอน,"$2,004,500.00 ",,,,,,นำเสนอ/ติดตาม
PJ67-0011,พัฒนาระบบไปรษณี Mail 68,$0.00 ,,,,,,นำเสนอ/ติดตาม
AR67-0022,HW ซ่อม sever กสอ,"$53,500.00 ",,,,,,นำเสนอ/ติดตาม
AP67-0062,เครื่องสแกนบาร์โค้ด จุฬา 2 Unit,"$5,564.00 ",ใบสั่งซื้อเลขที่ อว64.12/3847,16/08/2024 0:00,16/08/2024 0:00,15/09/2024 0:00,,จบงาน/ช่วงรับประกัน
AP68-0070,นำเข้าข้อมูล,$0.00 ,,,,,,นำเสนอ/ติดตาม
AP67-0023,ติดตั้งกล้องจุฬา 13 Unit,"$199,997.98 ",ใบสั่งซื้อเลขที่ อว64.12/1206,13/03/2024 0:00,14/03/2024 0:00,12/04/2024 0:00,,จบงาน/ช่วงรับประกัน
DT68-0001,ใช้ในสำนักงาน,$0.00 ,,,,,,ได้งาน
PJ67-0125,จัดซื้ออุปกรณ์พร้อมเพิ่มประสิทธิภาพการตรวจวัด จัดเก็บ และประมวลผลข้อมูลสถานการณ์น้ำบาดาล,"$140,000,000.00 ",,,,,,นำเสนอ/ติดตาม
AR68-0028,ลิขสิทธิ์การใช้งาน69 กรอ,"$101,850.00 ",,,,,,นำเสนอ/ติดตาม
SA68-0018,Link - NEdNet ปี 69,"$13,619,100.00 ",,,,,,นำเสนอ/ติดตาม
AR67-0065,HW ซ่อมปริ้นเตอร์ Fuji Xerox CP315dw ศล 13-002-0020-61 (DIT-2024-0065),$0.00 ,,,,,,นำเสนอ/ติดตาม
AR67-0047,HW หมึก Cannon lbp674cx สอน,$0.00 ,,,,,,นำเสนอ/ติดตาม
AR67-0098,เครื่องคอมพิวเตอร์แบบตั้งโต๊ะพร้อมชุดโปรแกรม จำนวน 3 ชุด และคอมพิวเตอร์โน้ตบุ๊คสำหรับประมวลผล พร้อมชุดโปรแกรม จำนวน 3 ชุด ,"$265,200.00 ",ใบสั่งซื้อเลขที่ 74/67,27/09/2024 0:00,28/09/2024 0:00,26/12/2024 0:00,,จบงาน/ช่วงรับประกัน
AR67-0049,HW ซ่อมServer สอน,$0.00 ,,,,,,นำเสนอ/ติดตาม
PJ67-0062,จัดทำฐานข้อมูลธัญพืชเมืองหนาว ,"$350,000.00 ",ศสส.จ22/68,13/12/2024 0:00,14/12/2024 0:00,12/01/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AR68-0015,Security กสอ XDR,$0.00 ,,,,,,นำเสนอ/ติดตาม
PJ68-0031,กล้อง Webcam และชุดหูฟังพร้อมไมโครโฟนสำหรับคอมพิวเตอร์ ,"$16,392.40 ",ใบสั่งซื้อเลขที่ สอป.005/2568 ,27/05/2025 0:00,01/06/2025 0:00,15/07/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
PJ68-0008,ซ่อม printer 1 unit,"$4,066.00 ",,,,,,นำเสนอ/ติดตาม
TP67-0009,กล้องวงจรปิดพร้อมอุปกรณ์ของอาคารหอประชุมมหาวิทยาลัยศิลปากร(วังท่าพระ),"$293,180.00 ",,,,,,นำเสนอ/ติดตาม
SA67-0056,Dev-งานติดตาม+ภาษาจีน ปี68,"$30,000,000.00 ",,,,,,นำเสนอ/ติดตาม
PJ67-0096,โครงการจัดหาเครื่องพิมพ์ (Printer) ทดแทนของเดิม ประจำปีงบประมาณ พ.ศ.2568,"$242,000.00 ",ใบสั่งซื้อเลขที่ 71/2568 ,09/06/2025 0:00,10/06/2025 0:00,07/09/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AP67-0003,กล้องวงจรปิด ไชยยศ 2,"$483,019.40 ",ใบสั่งซื้อเลขที่ อว.64.12/2291,23/05/2024 0:00,24/05/2024 0:00,23/08/2024 0:00,,จบงาน/ช่วงรับประกัน
AR67-0032,HW ครุภัณฑ์ ศริราช,$0.00 ,,,,,,นำเสนอ/ติดตาม
SJ67-0074,Dev_MA จ้างโครงการบำรุงรักษาระบบรับสมัครกิจกรรมกรมส่งเสริมการค้าระหว่างประเทศแบบครบวงจร ปีงบประมาณ 2567 ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),"$1,415,000.00 ",14/2568,24/10/2024 0:00,24/10/2024 0:00,30/09/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
NP68-0009,จ้างการพัฒนาแพลตฟอร์มภาคธุรกิจเชื่อมโยงฯ,"$6,498,600.00 ",,,,,,งานช่วย
PJ67-0124,จ้างเหมาจัดทำฐานข้อมูลการระบาดของโรคและแมลงศัตรูข้าวและการปลดปล่อยก๊าซเรือนกระจกให้อยู่ในรูปแบบเชิงพื้นที่,"$99,500.00 ",ใบสั่งจ้างเลขที่ ศสส.จ20/68,11/12/2024 0:00,12/12/2024 0:00,18/12/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
SJ67-0002,Dev_พัฒนาระบบ Single DB Phase2,"$8,000,000.00 ",,,,,,นำเสนอ/ติดตาม
AP68-0071,งานจอ จุฬา,$0.00 ,,,,,,นำเสนอ/ติดตาม
PJ67-0046,วัสดุคอมพิวเตอร์ จำนวน 1 รายการ,"$1,819.00 ",ใบสั่งซื้อเลขที่ พอ.066/2567,23/04/2024 0:00,25/04/2024 0:00,15/05/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
CC68-0011,ซื้ออุปกรณ์เลือกสลับสัญญาณภาพ,"$27,500.00 ",ใบสั่งซื้อเลขที่ PO16803/0006,31/03/2025 0:00,01/04/2025 0:00,30/04/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AP67-0042,กล้อง 5 ตัวห้องประชุม,"$90,201.00 ",KQ2024050015,21/05/2024 0:00,21/05/2024 0:00,30/06/2024 0:00,,จบงาน/ช่วงรับประกัน
PJ67-0008,ปรับปรุงระบบเครือข่าย ปี68,$0.00 ,,,,,,นำเสนอ/ติดตาม
AP67-0050,เครื่องสแกนใบหน้า,"$42,051.00 ",ใบสั่งซื้อเลขที่ อว.64.12/2732,13/06/2024 0:00,13/06/2024 0:00,12/07/2024 0:00,,จบงาน/ช่วงรับประกัน
AP68-0093,นำเข้าข้อมูล 69,"$7,260,000.00 ",,,,,,นำเสนอ/ติดตาม
AR68-0018,MA ระบบบริการ กพร 68,"$670,000.00 ",35/2568,07/03/2025 0:00,08/03/2025 0:00,03/10/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
NT68-0004,งานอบรม/สัมนาภายในบริษัทฯ,$0.00 ,,,,,,ได้งาน
PJ67-0109,ครุภัณฑ์คอม 68,$0.00 ,,,,,,นำเสนอ/ติดตาม
AP68-0023,จัดซื้อชุด podcast,$0.00 ,,,,,,นำเสนอ/ติดตาม
SJ67-0023,Dev_จ้างพัฒนาปรับปรุงระบบการรับสมัครกิจกรรมงานแสดงสินค้าอัญมณีและเครื่องประดับ สำหรับลูกค้าต่างประเทศ จำนวน 1 งาน ,"$500,000.00 ",ใบสั่งจ้างเลขที่ C066/2567,03/09/2024 0:00,04/09/2024 0:00,31/01/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AR67-0030,Dev พัฒนาแพลตฟอร์ม ธุรกิจที่เป็นมิตรกับผู้สูงอายุ ผส,"$4,500,000.00 ",,,,,,นำเสนอ/ติดตาม
AR67-0077,HW_SQL,$0.00 ,,,,,,นำเสนอ/ติดตาม
AR67-0021,Dev โครงการพัฒนาแพลตฟอร์มยื่นคำขอใบอนุญาตดิจิทัล กพร,"$17,000,000.00 ",,,,,,นำเสนอ/ติดตาม
AP67-0036,ระบบ conference ห้องประชุม CAT,$0.00 ,,,,,,นำเสนอ/ติดตาม
AP67-0020,PC20 Unit,"$484,000.00 ",ใบสั่งจ้างเลขที่ สช.บช.122/2567,20/09/2024 0:00,21/09/2024 0:00,29/12/2024 0:00,,จบงาน/ช่วงรับประกัน
DT68-0010,งานซ่อมบำรุงอาคารสถานที่ (ไฟฟ้า ประปา),$0.00 ,,,,,,ได้งาน
AR67-0081,HW Printer สผ,$0.00 ,,,,,,นำเสนอ/ติดตาม
SJ67-0079,HW_ห้องประชุม ราชมงคลสุวรรณภมูิ,$0.00 ,,,,,,นำเสนอ/ติดตาม
CC67-0013,จ้างเหมาปรับปรุงระบบสายสัญญาณและสายไฟฟ้าห้องศูนย์ปฏิบัติการเครือข่ายกรมส่งเสริมการเกษตร,"$495,000.00 ",,,,,,นำเสนอ/ติดตาม
SJ67-0033,MA_บำรุงรักษาระบบ Call Center สายด่วน 1385 รองรับการอำนวยความสะดวกทาด้านข้อมูลการค้าต่างประเทศด้วยนวัตกรรมดิจิทัล ประจำปีงบประมาณ พ.ศ.2568,"$298,000.00 ",Oct-68,17/10/2024 0:00,01/10/2024 0:00,30/09/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
SJ67-0085,MA_สัญญาจ้างบริการดูแลบำรุงรักษาจอ LED บริเวณด้านหน้าอาคารหอสมุดแห่งชาติ ,"$130,000.00 ",29/2568,31/10/2024 0:00,01/10/2024 0:00,30/09/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AR68-0012,งบประมาณ 69(HCI) สผ,$0.00 ,,,,,,นำเสนอ/ติดตาม
NP68-0001,การจัดซื้อวัสดุคอมพิวเตอร์ จำนวน 2 รายการ,"$77,810.40 ",314/2568,24/02/2025 0:00,25/02/2025 0:00,26/03/2025 0:00,,จบงาน/ช่วงรับประกัน
SA67-0048,HW-Wiring UTP&Test,"$41,590.90 ",3186000882,04/11/2024 0:00,05/11/2024 0:00,04/12/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AR68-0052,AR68-0052 MA บำรุงรักษาพร้อมต่อลิขสิทธิ์ระบบศูนย์ DRSite69 ศาล,$0.00 ,,,,,,นำเสนอ/ติดตาม
CC67-0015,จ้างบริการระบบบริหารจัดการเครือข่ายพร้อมอุปกรณ์ สำหรับให้บริการแก่ กรมสวัสดิการและคุ้มครองแรงงาน ,"$5,501,940.00 ",ใบสั่งจ้างเลขที่ 3600006769,11/12/2024 0:00,01/10/2024 0:00,30/09/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AP68-0101,เดินสาย 7 จุด,"$18,725.00 ",ใบสั่งจ้างเลขที่ อว64.12/2776,05/06/2025 0:00,05/06/2025 0:00,04/07/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
SA68-0038,HW- PC 51 Set ICT SU,"$1,780,000.00 ",,,,,,นำเสนอ/ติดตาม
PJ67-0009,เพิ่มประสิทธิภาพโครงสร้างพื้นฐาน ปี68,"$43,500,000.00 ",68/2568,21/01/2025 0:00,21/01/2025 0:00,20/09/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AR68-0065,MA บำรุงรักษาระบบเครือข่าย 68 อคส,$0.00 ,,,,,,นำเสนอ/ติดตาม
AP68-0090,จ้างต่อลิขสิทธิ์อุปกรณ์รักษาความปลอดภัยและดูแลรักษาอุปกรณ์กระจายสัญญาณหลัก ,"$235,000.00 ",ใบสั่งจ้างเลขที่ 68-117,30/05/2025 0:00,31/05/2025 0:00,14/06/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
SA68-0008,DEV-ระบบบริหารจัดการงานเอกสารและหนังสือราชการด้วยลายเซ็นดิจิทัล งบปี 69,"$66,000,000.00 ",,,,,,นำเสนอ/ติดตาม
AP68-0034,ปรับปรุงระบบบริหารสัญญาปี 68,"$490,000.00 ",ใบสั่งซื้อเลขที่ 4016800021,12/03/2025 0:00,14/03/2025 0:00,11/06/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
PJ67-0130,วิเคราะห์และประเมินความถูกต้องสำหรับการวินิจฉัย,"$349,000.00 ",ใบสั่งจ้างเลขที่ ศสส.จ62/68,24/06/2025 0:00,25/06/2025 0:00,09/07/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AR68-0060,HW ศูนย์นวัตกรรมการเรียนรู้ดิจิทัล ชั้น5 ม.สุวรรณภูมิ,$0.00 ,,,,,,นำเสนอ/ติดตาม
AP67-0008,MA ระบบบริหารสัญญา 67,"$597,000.00 ",4106700060,08/05/2024 0:00,09/05/2024 0:00,08/05/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
CC67-0083,บำรุงรักษาเครื่องสำรองไฟฟ้าขนาด 20 kVA ,"$120,000.00 ",CC67-0083,10/09/2024 0:00,10/09/2024 0:00,09/10/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AR67-0009,MA Iic กรอ 68,"$6,000.00 ",323/2568,30/04/2025 0:00,01/05/2025 0:00,01/05/2026 0:00,,ได้งาน/เซ็นสัญญาแล้ว
TP68-0009,โรงเรียนวัดหนองคา ราชบุรี ,"$150,000.00 ",,,,,,ได้งาน
SA68-0017,Rent - PC 120 set ปี 69,"$2,134,080.00 ",,,,,,นำเสนอ/ติดตาม
PJ67-0095,ซื้อคอมพิวเตอร์พร้อมเครื่องสำรองไฟ และเครื่องพิมพ์ จำนวน 5 ชุด,"$226,000.00 ",155/2567,12/09/2024 0:00,13/09/2024 0:00,12/09/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AR68-0064,HW ซื้อจัดซื้อ Firewall  Core Switch อคส,$0.00 ,,,,,,นำเสนอ/ติดตาม
SJ67-0035,HW-อุปกรณ์ WAP,$0.00 ,,,,,,นำเสนอ/ติดตาม
SA67-0054,Dev-Credit Bank ปี68,"$40,000,000.00 ",,,,,,นำเสนอ/ติดตาม
AR67-0068,HW_ซื้อครุภัณฑ์ สอน (กองทุน),"$4,080,000.00 ",Jan-67,30/09/2024 0:00,01/10/2024 0:00,30/12/2024 0:00,,จบงาน/ช่วงรับประกัน
SJ67-0072,Dev_บำรุงรักษาระบบเว็บไซต์กรมการค่าต่างประเทศ ประจำปีงบประมาณ พ.ศ. 2568,"$150,000.00 ",Nov-68,17/10/2024 0:00,01/10/2024 0:00,30/09/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
NT68-0006,งานบริหารจัดการตามนโยบายบริษัทฯ,$0.00 ,,,,,,ได้งาน
CC67-0098,สัญญาจัดซื้อโครงการอุปกรณ์เพื่อพัฒนาระบบบริหารจัดการศูนย์แม่ข่ายกลางและศูนย์แม่ข่ายสำรอง แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 1 ระบบ ,"$18,500,000.00 ",คภ.ฝล.8/2567,09/05/2024 0:00,10/05/2024 0:00,09/08/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AR68-0001,MA_ระบบออกใบอนุญาตประกอบโรงงาน DS กรอ,"$450,000.00 ",Jul-68,11/11/2024 0:00,01/10/2024 0:00,30/09/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
